"";"tweets";"value"
"6405";"Today win yellow army";0
"3398";"costco brings out the best in people";1
"1289";"Yeah man calling an entire race of people racist That’s Hilarious";1
"2857";"Is it already";1
"6797";"Shane Watson on MS Dhoni";0
"1010";"Stand by for Twitter melt down Some woman has gone into labour So have others by the way";1
"296";"Very happy and proud of my wife succeeding in her interview for her st teaching post after such a long dedicated…";1
"377";"A beautiful snowrise this morning just east of Amidon this morning";1
"382";"How can you let your “friends” know you’re safe on a group text";1
"4489";"Who will Lead To winPrediction";0
"3683";"yeah hilarious";1
"1672";"How dare they doxx this man Theres no excuse for doxxing ever";1
"2398";"The boys played a really fun game last night where one of them was up with each turn of the hour Jokes on them t…";1
"366";"Oh yes I missed the children and marriage act the one where law on children and divorce are combined";1
"999";"Wilson Is GOAT Obviously";1
"431";"Life is just great sometimes GREAT <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E63>";1
"2765";"Imagine being treated so poorly that you have to pay for something and then have it brought to you…";1
"6735";"Match No Vs Who will Win Todays MatchVote Here Retweet F…";0
"5546";"is on fire";0
"4551";"FOUR SMASH SMASH SMASH come on";0
"6590";"Much awaited game in BangaloreIm hoping it shouldnt be";0
"2627";"Like the Carrier promise or maybe the tax cut f…";1
"484";"You’re ruining my childhood I thought that was possible Hahaha";1
"4573";"They may be <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65> but their daughter are more than That <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64> for them";0
"1872";"Wait someone is questioning if Trump is influenced by rich conservative donors";1
"7604";"A good bowling attack and you cud easily bring out how vulnerable is when batting first obviously a bit bette…";0
"668";"So glad PA deregulated the electric utility industry";1
"836";"Yeah not the drunk driver at all";1
"2311";"What is the spell of mockingbird media propaganda Does it involve a goat sacrific…";1
"3609";"Wonder if a cat would react the same way";1
"7738";"Record proves that is the best This post is for the haters Just look at the stats Love you";0
"222";"Props for original thinking";1
"4874";"Tumne nahi ne bigara <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E61>";0
"2616";"st class internet <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>";1
"5017";"Whats with chasing amp So who is going to be the batting hero today";0
"7307";"<U+2764><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+2764><U+FE0F>";0
"4531";"has been a joker card for";0
"470";"Mahiya ka naman kahit konti Ako nga mas may karapatan magalit Ikaw na ang kambal na Kapal at Kupal";1
"6310";"When RCB flags with stick is allowed why not flag Leave alone the flag The dumbest thing is not even allo…";0
"734";"Horrible what happened at Toronto I think we need to propose a truck ban to prevent citizens from acquiring such d…";1
"5453";"daa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>Bravo daa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";0
"5134";"Anything less Dan will chase it";0
"7043";"<U+0B87><U+0BA9><U+0BCD><U+0BB1><U+0BC1> <U+0BAF><U+0BBE><U+0BB0><U+0BC1> <U+0B9C><U+0BC6><U+0BAF><U+0BBF><U+0BAA><U+0BCD><U+0BAA><U+0BBE> Mine";0
"897";"Pitchers know everything about hitting so we might as well just let them hit right <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E31><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34>";1
"5458";"Overde Kock Ab De VillieRs SN Thakur";0
"5804";"Roaring for in Home";0
"6200";"amp comes in";0
"1145";"You cant mention penis cause its ansocial construct duh lol";1
"1528";"Apparently a funeral Don has a way with words <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E34>";1
"3103";"Well THAT quote aged well";1
"5056";"SIR kitta yhe va <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>Aek ma Dho thuppada <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";0
"2488";"Hey now Im actually watching right now Its another thrilling episode of…";1
"7381";"Karma is a bitch thats fucking Mumbai Indians in their pochch";0
"3571";"Well this about sums it up";1
"5887";"<U+0B93><U+0BA4><U+0BCD><U+0BA4><U+0BBE><U+0BB2><U+0B95><U+0BCD><U+0B95> <U+0B87><U+0BA9><U+0BCD><U+0BA9><U+0BC8><U+0B95><U+0BCD><U+0B95><U+0BC1> <U+0B8F><U+0BA3><U+0BCD><U+0B9F><U+0BBE> <U+0B8E><U+0B99><U+0BCD><U+0B95><U+0BB3> <U+0B8E><U+0BA4><U+0BC1><U+0BA4><U+0BCD><U+0BA4><U+0BCB><U+0BAE><U+0BCD><U+0BA9><U+0BC1> <U+0B87><U+0BB0><U+0BC1><U+0B95><U+0BCD><U+0B95><U+0BA9><U+0BC1><U+0BAE><U+0BCD>";0
"301";"meh doodle via redbubble";1
"7150";"Aaj harega";0
"413";"So funny";1
"1157";"great tweet";1
"3014";"Was just reading up on how to control my allergies when an article recommended me tobuy a plant Yes buy a pla…";1
"5008";"Chennai Super Kings require to win todays Match Odds In Play Top";0
"4509";"UGH Raina gone now WHYY";0
"4232";"<U+0B95><U+0BAE><U+0BBE><U+0BA9><U+0BCD>";0
"2777";"That’s the point";1
"2726";"The look you get from your boss when she is having her photo taken and you say something not so funny…";1
"6234";"All the best";0
"130";"I totally agree Nobody should ever whistle EVER in any ANY office environment…";1
"7455";"Fan fingers crossed";0
"3457";"You know whats a great way to end a not great day Finding vomit in your hair from when you stress vomited five mi…";1
"5185";"Naama maadre wicket yedhutaar vandhi podu ra Thair bhai ana summava";0
"6107";"Who will finish as the leading run scorer in";0
"7447";"All Blind Dhoni Haters just wanna know how difficult is to be the finisher coming at num and above";0
"2255";"Quelle belle mixité ça fait zizir";1
"5904";"Time for the big battle as give a visit to amp Co What should be the teams’ for…";0
"7107";"Name NaveenLocation Chennai When i wants to give a commentary abou…";0
"771";"Brother in law did you notice Id swapped cars roundMe no I totally didnt notice that a polo turned into a golf <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E36><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"201";"Seriously Golfing too slowly What a crime";1
"5925";"its everywhere Thalapathy stylela solluluna andha area indha area andha idam indha idam all arealum ghillida";0
"2298";"Just heard If there were a god of surely burn in the fires of hellRefactoring a small SP w loc…";1
"2284";"Fill em with tobacco thatll show em whos boss";1
"7350";"vs Venue M Chinnaswamy Stadium BengaluruTime Please Predict before …";0
"4893";"CSK Top batsmen";0
"2603";"Iowa put out their nominees for their Golden Herky awards here are the nominations for best upset I wonder who…";1
"4868";"Common dont lose to chokers";0
"5416";"nd <U+0BAE><U+0BC6><U+0BAF><U+0BCD><U+0B9F><U+0BA9><U+0BCD> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63>";0
"5302";"The immortal ABD is taken out by the Tahir express But what an innings by the alien on the cards quite a comebac…";0
"209";"Just because he’s got a swastika tattooed on his forehead doesn’t prove anything …<U+2744><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E31><U+2757><U+FE0F>";1
"2061";"Signs When You Were Little That Meant Mom Was None Too Happy With You Right Now via…";1
"3621";"Today is my lucky day gee";1
"6702";"IPL Match RCB vs CSK Match amp Fantasy Preview";0
"6178";"LoL Chennai guys dont even allow placards of other teams Forget…";0
"3506";"or or Cant tell which";1
"3788";"Just finished a big report for a client then called my mom edited a TV commercial and soon Ill be working on income ta…";1
"3930";"Shari seems nice";1
"991";"How dare you You racist you";1
"3266";"Keira is thrilled about this date";1
"1915";"Some customers are just an absolute wonderful delight to work with";1
"1209";"Happy Let’s give a to these two comrades for protecting the environment <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>";1
"6060";"Virat Kohli scored runs in against which is most by anyone against them";0
"4287";"Superb bowling Googly outside offstump gone critical situation for";0
"2560";"Im sure Tom never dabbled in womanizing behaviors back in the day";1
"670";"Wow this is such an even match I wonder wholl win";1
"932";"Abey IndiaA bae IndiaOh Bae India <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"4348";"Tonights encounter between the mighty and the resurgent will be made all the more special with my…";0
"4563";"Am i hearing it right Is this the chant of reverberating at Chinnaswamy stadium Thats…";0
"1347";"Thread";1
"6157";"Mega match of face off against Better luck for the next match we’re coming…";0
"7173";"will clinch victory toni…";0
"6242";"Here is my entry teamhope to win hospitality tickets team";0
"531";"I’m expecting ‘Le Fraud’ gets us in to CL new manager to win it a…";1
"2169";"I always knew Tomas Plekanec would score multiple goals as a member of the after the deadline";1
"7178";"Thats the Power of <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> <U+2764> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E38> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>";0
"4673";"An other straight to the ground";0
"2416";"Go with God my brother <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E33>you’re amazing";1
"1260";"On the plus side Macron did show us how to hold a proper military parade and how to ban things we don’t…";1
"4198";"Seeing VICTORY march Other TEAMs Reaction <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E33><U+613C><U+3E33>";0
"2090";"Ppl will complain about our generation but we’re not the ones excusing the idea of owning another person as propert…";1
"2408";"When Trudeau calls an emergency meeting to fix a national problem he sure does a bang up job Sounds like everyone…";1
"7209";"This is Savage<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63>Credit to our Super";0
"5352";"provides the most important break through are right back into the game a little late still ca…";0
"4189";"Hello Winter Ive missed you so much Its been hours since we saw each other last";1
"3155";"then there is that you pay by credit card it has GPS on the taxi Google sells your data for ads";1
"5211";"Well saidits turnaround strategic move";0
"6080";"vs S S s";0
"3348";"I thought tumblr was just for porn";1
"195";"Ive got hiccups nowGreat";1
"3516";"Rahul Gandhi “Even Sachin has to play on a public road and Modi is claiming Mumbai is upgrading” <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63>";1
"3049";"Wow Microsoft does it again";1
"3131";"Because I’m positive if the FBI of all groups sent an anonymous letter we would all find out about it";1
"2205";"thank you for the tax cuts My kid made last year amp according to the tax app under your…";1
"1983";"But What about the profit Dont you know dollars are more important than people";1
"5459";"Finally its time to Champion Dance <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E34><U+393C><U+3E38>";0
"3540";"Much like yesterday was tax day today is definitely Friday the th for";1
"260";"Oh come on You dont think hes enticed other women in that ridiculous Village People constr…";1
"574";"Are you helping me";1
"2491";"I love it when puts on a boring movie and then promptly goes to bed";1
"5284";"OverC Anderson De VillieRs OuTI TahirWk";0
"4888";"IPL final repeat today But its who score and shall chase it Exact oppositeThis time…";0
"960";"What a fantastic uncorrupt completely fair democracy we have in the UK";1
"3283";"Yeah Bollywood has a dirth of north indians well built dudes Now thats gonna be…";1
"457";"Not sure what the tag is there for P";1
"4027";"Superb match making Thankyou";1
"1586";"Another white Vader mask Yes Thanks Greg And thank you twitter for proving that a white Vader mask does exist…";1
"6849";"Great win for tonight amp seriously good <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E66> from On to Hyderabad";0
"5139";"ChennaiSuperKings thanks <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>";0
"7475";"Some people in my TL spoke about yesterday <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>Guess what happened today <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>Karma is a bitch <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>";0
"5364";"Both de kock and AB have gone game on";0
"5077";"If you think you can cheer the loudest for Team heres a contest for you Upload a fun video of your…";0
"5092";"Who will win today’s match";0
"5867";"sipa oluchu vacha kalyanam ninuduma enna da flag eduthu kittu po kuduthu nu scarf not allowed nu jatti Kul…";0
"6096";"Get ready for another blockbuster You can ask your questions";0
"6338";"Poduda whistle edudiya Vandi Thalaaaaaaaaaaaaaaaaaaaaaaaaaa Just for you I am here";0
"5728";"Gayle will play or not But you can win log on to <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37>India’s Fantasy Cricket <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E66>…";0
"6249";"I dont know whats the script Wish its a defeat today";0
"6678";"Watch the powerpacked between and on a larger than life screen at The Great India Place…";0
"307";"Waitthere are more than just quarterbacks in this year’s NFL draft";1
"2824";"Pressure Released <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"7025";"And it is the South Indian derby today";0
"5391";"abd out huna bhaena jitna chai le paryo <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E37>";0
"1256";"Apparently if I don’t use the raging sarcasm is lost sad";1
"3803";"OMG Nikki and Cena split up I’m so surprised It makes me think the engagement at WrestleFreakinMania was a work…";1
"4597";"Chants of in Chennaswami StadiumThey love their stars like idols and is one themChepauk is everyw…";0
"2329";"The other question is I hope Lebron is ok that was such a malicious foul and surprised Bron could even play…";1
"1982";"Sorry but this kid is an idiotTrying to become a star through tragedy that’s itBut don’t panic I’m not a republic…";1
"2899";"Ofcmate You look very disturbedMe It shows";1
"1212";"But I want to watch Shameless <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E32>";1
"2992";"Nope nothing wrong with this Totally normal";1
"1985";"Dictatorship sounds like such a great idea when you consider…";1
"5396";"Maidens in T BoultD Chahar Rashid KhanS Thakur Dwayne Bravo its just Things <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E63><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61>";0
"1943";"Must be a reds fan";1
"2650";"The bitching has been remarkably lowkey <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";1
"3660";"In Ottawa threats are back with freezing rain icy sidewalks and roadsand a fallen tree";1
"1757";"Got to the airport for my flight home with Amma and they did a body pat down and the TSA agent actually asked her a…";1
"2119";"Just think Perhaps if she were a professor at she’d have tenor";1
"1721";"Searching for anagrams of whereon will get you nowhere";1
"2299";"Para todos los que me ham preguntado si El presidente de Cuba y yo estamos relacionados Es tio abuelo mio y sobr…";1
"7042";"Next few bottles of Frooti will be crucial for the batsmen considering the speed in which they are drinking…";0
"6524";"Frm when clash bw n has been referred as thought the clash bw n…";0
"5267";"I love the role of SIR in CSKs game plan This is just perfect plan I think Dont let him get involved…";0
"4109";"Off to work Fun";1
"370";"city should give a gas rebate because only pickup trucks can survive these goattrail roads";1
"304";"Brady and Gronk will be returning for the season Such breaking news so glad to put the unknown behind us…";1
"6532";"<U+0CB8><U+0CCD><U+0CA8><U+0CC7><U+0CB9><U+0CAA><U+0CC2><U+0CB0><U+0CCD><U+0CB5><U+0C95> <U+0CAA><U+0C82><U+0CA6><U+0CCD><U+0CAF><U+0C95><U+0CCD><U+0C95><U+0CC6> <U+0C95><U+0CCD><U+0CB7><U+0CA3><U+0C97><U+0CA3><U+0CA8><U+0CC6><U+0C95><U+0CAA><U+0CCD> <U+0C97><U+0CC6><U+0CB2><U+0CCD><U+0CB2><U+0CCB><U+0CA6><U+0C95><U+0CCD><U+0C95><U+0CBF><U+0C82><U+0CA4> <U+0CAE><U+0CC1><U+0C82><U+0C9A><U+0CC6> <U+0C88> <U+0CAE><U+0CCD><U+0CAF><U+0CBE><U+0C9A><U+0CCD> <U+0C97><U+0CC6><U+0CA6><U+0CCD><U+0CA6><U+0CC1> <U+0C95><U+0CAA><U+0CCD> <U+0C97><U+0CC6><U+0CB2><U+0CCD><U+0CB2><U+0CCB><U+0C95><U+0CC6> <U+0CA8><U+0CBE><U+0C82><U+0CA6><U+0CBF> <U+0CB9><U+0CBE><U+0CA1><U+0CCD><U+0CA4><U+0CC0><U+0CB5><U+0CBF><U+0C88> <U+0CB8><U+0CB2> <U+0C95><U+0CAA><U+0CCD> <U+0CA8><U+0CAE><U+0CCD>…";0
"6361";"<U+0BA8><U+0BBE><U+0B99><U+0BCD><U+0B95> <U+0B8E><U+0BAA><U+0BCD><U+0BAA><U+0BA4><U+0BBE> <U+0B9C><U+0BC6><U+0BAF><U+0BCD><U+0BAA><U+0BCD><U+0BAA><U+0BCB><U+0BAE><U+0BCD><U+0B85><U+0BB5><U+0BAE><U+0BBE><U+0BAA><U+0BCD><U+0BAA><U+0B9F><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0B85><U+0B9A><U+0BBF><U+0B99><U+0BCD><U+0B95><U+0BAA><U+0BCD><U+0BAA><U+0B9F><U+0BCD><U+0B9F><U+0BC1> <U+0BA4><U+0BCB><U+0BA4><U+0BCD><U+0BA4><U+0BC1><U+0BB1><U+0BC1><U+0BB5><U+0BBF><U+0B99><U+0BCD><U+0B95><U+0B9F><U+0BBE><U+0B85><U+0BAA><U+0BCD><U+0BAA> <U+0B85><U+0B9F><U+0BC1><U+0BA4><U+0BCD><U+0BA4> Ipl <U+0B85><U+0BA4><U+0BC1><U+0BB5><U+0BC7><U+0BAA><U+0BCD> <U+0BAA><U+0BB4><U+0B95><U+0BBF><U+0B9F><U+0BC1><U+0BAE><U+0BCD> fans…";0
"5633";"Jeetegi <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>Believe me <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E65>";0
"3086";"Bhasan dene mein expert hain Modiji <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E31> tha re";1
"4197";"CSK have lost too many wickets Still MSD and Rayudu out there but its going to be incredibly difficult know RCB’s…";0
"7265";"Ridiculous Even from a relatively neutral account linking with Learned people like Ramesh sho…";0
"4931";"what a comeback by <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63><U+270C><U+FE0F> Out se darr nai lagta saheb Run Out se lagta hai <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> s Cameo <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63>…";0
"68";"Got out of the shower to a message from BM about needing to learn propper bathing technique Shoot I guess I never…";1
"2512";"I crossed my legs so as not to be too obvious I was ready for whatever was to come my wa…";1
"7542";"<U+0932><U+0947> <U+0918><U+094B><U+0921><U+093E> <U+091F><U+093F><U+0915><U+093F><U+0938><U+0915><U+094D><U+092F><U+094B> <U+092D><U+0928><U+094D><U+0926><U+0948> <U+091B><U+0928> <U+0924> <U+0928><U+0947><U+092A><U+093E><U+0932><U+0940> <U+091C><U+0928><U+0924><U+093E> <U+0916><U+093E><U+0938> <U+0915><U+0941><U+0930><U+094B> <U+0915><U+0947> <U+0930><U+0948><U+091A> <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E62>";0
"5131";"s Batting LineUp Should Be Like This For A Power PerformanceDhoniDhoniDhoniDhoniDhoniDhoniDhoniD…";0
"4794";"The way Imran Tahir runs after taking a wicket looks like he will reach Bellandur in sometime <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>";0
"1775";"Hug your waist rub your hair itu menurutmu common English word thats used in everyday convo Kalau…";1
